iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
278,158540,0,                       0,158540,158540,0,                       0,158540
279,158541,0,                       0,158539,158539,0,                       0,158541
280,158540,0,                       0,158540,158540,0,                       0,158540
281,158539,0,                       0,158541,158541,0,                       0,158539
282,158540,0,                       0,158540,158540,0,                       0,158540
283,158539,0,                       0,158541,158541,0,                       0,158539
284,158538,0,                       0,158542,158542,0,                       0,158538
285,158539,0,                       0,158541,158541,0,                       0,158539
286,158540,0,                       0,158540,158540,0,                       0,158540
287,158541,0,                       0,158539,158539,0,                       0,158541
288,158542,0,                       0,158538,158538,0,                       0,158542
289,158541,0,                       0,158539,158539,0,                       0,158541
290,158540,0,                       0,158540,158540,0,                       0,158540
291,158539,0,                       0,158541,158541,0,                       0,158539
292,158540,0,                       0,158540,158540,0,                       0,158540
293,158539,0,                       0,158541,158541,0,                       0,158539
294,158538,0,                       0,158542,158542,0,                       0,158538
295,158537,0,                       0,158543,158543,0,                       0,158537
296,158538,0,                       0,158542,158542,0,                       0,158538
297,158539,0,                       0,158541,158541,0,                       0,158539
298,158540,0,                       0,158540,158540,0,                       0,158540
299,158539,0,                       0,158541,158541,0,                       0,158539
300,158538,0,                       0,158542,158542,0,                       0,158538
301,158539,0,                       0,158541,158541,0,                       0,158539
302,158538,0,                       0,158542,158542,0,                       0,158538
303,158539,0,                       0,158541,158541,0,                       0,158539
304,158540,0,                       0,158540,158540,0,                       0,158540
305,158539,0,                       0,158541,158541,0,                       0,158539
306,158538,0,                       0,158542,158542,0,                       0,158538
307,158539,0,                       0,158541,158541,0,                       0,158539
308,158540,0,                       0,158540,158540,0,                       0,158540
309,158541,0,                       0,158539,158539,0,                       0,158541
310,158542,0,                       0,158538,158538,0,                       0,158542
311,158541,0,                       0,158539,158539,0,                       0,158541
312,158542,0,                       0,158538,158538,0,                       0,158542
313,158541,0,                       0,158539,158539,0,                       0,158541
314,158542,0,                       0,158538,158538,0,                       0,158542
315,158541,0,                       0,158539,158539,0,                       0,158541
316,158540,0,                       0,158540,158540,0,                       0,158540
317,158541,0,                       0,158539,158539,0,                       0,158541
318,158542,0,                       0,158538,158538,0,                       0,158542
319,158541,0,                       0,158539,158539,0,                       0,158541
320,158540,0,                       0,158540,158540,0,                       0,158540
321,158541,0,                       0,158539,158539,0,                       0,158541
322,158540,0,                       0,158540,158540,0,                       0,158540
323,158539,0,                       0,158541,158541,0,                       0,158539
324,158540,0,                       0,158540,158540,0,                       0,158540
325,158539,0,                       0,158541,158541,0,                       0,158539
326,158540,0,                       0,158540,158540,0,                       0,158540
327,158541,0,                       0,158539,158539,0,                       0,158541
328,158540,0,                       0,158540,158540,0,                       0,158540
329,158541,0,                       0,158539,158539,0,                       0,158541
330,158540,0,                       0,158540,158540,0,                       0,158540
331,158541,0,                       0,158539,158539,0,                       0,158541
332,158540,0,                       0,158540,158540,0,                       0,158540
333,158539,0,                       0,158541,158541,0,                       0,158539
334,158538,0,                       0,158542,158542,0,                       0,158538
335,158537,0,                       0,158543,158543,0,                       0,158537
336,158538,0,                       0,158542,158542,0,                       0,158538
337,158539,0,                       0,158541,158541,0,                       0,158539
338,158538,0,                       0,158542,158542,0,                       0,158538
339,158537,0,                       0,158543,158543,0,                       0,158537
340,158538,0,                       0,158542,158542,0,                       0,158538
341,158539,0,                       0,158541,158541,0,                       0,158539
342,158540,0,                       0,158540,158540,0,                       0,158540
343,158541,0,                       0,158539,158539,0,                       0,158541
344,158542,0,                       0,158538,158538,0,                       0,158542
345,158543,0,                       0,158537,158537,0,                       0,158543
346,158542,0,                       0,158538,158538,0,                       0,158542
347,158541,0,                       0,158539,158539,0,                       0,158541
348,158540,0,                       0,158540,158540,0,                       0,158540
349,158541,0,                       0,158539,158539,0,                       0,158541
350,158540,0,                       0,158540,158540,0,                       0,158540
351,158539,0,                       0,158541,158541,0,                       0,158539
352,158538,0,                       0,158542,158542,0,                       0,158538
353,158537,0,                       0,158543,158543,0,                       0,158537
354,158538,0,                       0,158542,158542,0,                       0,158538
355,158539,0,                       0,158541,158541,0,                       0,158539
356,158540,0,                       0,158540,158540,0,                       0,158540
357,158539,0,                       0,158541,158541,0,                       0,158539
358,158540,0,                       0,158540,158540,0,                       0,158540
359,158539,0,                       0,158541,158541,0,                       0,158539
360,158538,0,                       0,158542,158542,0,                       0,158538
361,158537,0,                       0,158543,158543,0,                       0,158537
362,158538,0,                       0,158542,158542,0,                       0,158538
363,158539,0,                       0,158541,158541,0,                       0,158539
364,158540,0,                       0,158540,158540,0,                       0,158540
365,158539,0,                       0,158541,158541,0,                       0,158539
366,158540,0,                       0,158540,158540,0,                       0,158540
367,158541,0,                       0,158539,158539,0,                       0,158541
368,158540,0,                       0,158540,158540,0,                       0,158540
369,158539,0,                       0,158541,158541,0,                       0,158539
370,158540,0,                       0,158540,158540,0,                       0,158540
371,158541,0,                       0,158539,158539,0,                       0,158541
372,158542,0,                       0,158538,158538,0,                       0,158542
373,158541,0,                       0,158539,158539,0,                       0,158541
374,158540,0,                       0,158540,158540,0,                       0,158540
375,158539,0,                       0,158541,158541,0,                       0,158539
376,158540,0,                       0,158540,158540,0,                       0,158540
377,158541,0,                       0,158539,158539,0,                       0,158541
378,158540,0,                       0,158540,158540,0,                       0,158540
379,158539,0,                       0,158541,158541,0,                       0,158539
380,158540,0,                       0,158540,158540,0,                       0,158540
381,158541,0,                       0,158539,158539,0,                       0,158541
382,158540,0,                       0,158540,158540,0,                       0,158540
383,158541,0,                       0,158539,158539,0,                       0,158541
384,158540,0,                       0,158540,158540,0,                       0,158540
385,158539,0,                       0,158541,158541,0,                       0,158539
386,158540,0,                       0,158540,158540,0,                       0,158540
387,158541,0,                       0,158539,158539,0,                       0,158541
388,158542,0,                       0,158538,158538,0,                       0,158542
389,158541,0,                       0,158539,158539,0,                       0,158541
390,158542,0,                       0,158538,158538,0,                       0,158542
391,158541,0,                       0,158539,158539,0,                       0,158541
392,158542,0,                       0,158538,158538,0,                       0,158542
393,158541,0,                       0,158539,158539,0,                       0,158541
394,158542,0,                       0,158538,158538,0,                       0,158542
395,158541,0,                       0,158539,158539,0,                       0,158541
396,158540,0,                       0,158540,158540,0,                       0,158540
397,158539,0,                       0,158541,158541,0,                       0,158539
398,158538,0,                       0,158542,158542,0,                       0,158538
399,158539,0,                       0,158541,158541,0,                       0,158539
400,158540,0,                       0,158540,158540,0,                       0,158540
401,158539,0,                       0,158541,158541,0,                       0,158539
402,158540,0,                       0,158540,158540,0,                       0,158540
403,158541,0,                       0,158539,158539,0,                       0,158541
404,158542,0,                       0,158538,158538,0,                       0,158542
405,158541,0,                       0,158539,158539,0,                       0,158541
406,158540,0,                       0,158540,158540,0,                       0,158540
407,158539,0,                       0,158541,158541,0,                       0,158539
408,158540,0,                       0,158540,158540,0,                       0,158540
409,158539,0,                       0,158541,158541,0,                       0,158539
410,158540,0,                       0,158540,158540,0,                       0,158540
411,158541,0,                       0,158539,158539,0,                       0,158541
412,158542,0,                       0,158538,158538,0,                       0,158542
413,158543,0,                       0,158537,158537,0,                       0,158543
414,158542,0,                       0,158538,158538,0,                       0,158542
415,158541,0,                       0,158539,158539,0,                       0,158541
416,158540,0,                       0,158540,158540,0,                       0,158540
417,158539,0,                       0,158541,158541,0,                       0,158539
418,158540,0,                       0,158540,158540,0,                       0,158540
419,158539,0,                       0,158541,158541,0,                       0,158539
420,158540,0,                       0,158540,158540,0,                       0,158540
421,158539,0,                       0,158541,158541,0,                       0,158539
422,158540,0,                       0,158540,158540,0,                       0,158540
423,158541,0,                       0,158539,158539,0,                       0,158541
424,158542,0,                       0,158538,158538,0,                       0,158542
425,158543,0,                       0,158537,158537,0,                       0,158543
426,158542,0,                       0,158538,158538,0,                       0,158542
427,158541,0,                       0,158539,158539,0,                       0,158541
428,158542,0,                       0,158538,158538,0,                       0,158542
429,158541,0,                       0,158539,158539,0,                       0,158541
430,158540,0,                       0,158540,158540,0,                       0,158540
431,158539,0,                       0,158541,158541,0,                       0,158539
432,158538,0,                       0,158542,158542,0,                       0,158538
433,158539,0,                       0,158541,158541,0,                       0,158539
434,158540,0,                       0,158540,158540,0,                       0,158540
435,158541,0,                       0,158539,158539,0,                       0,158541
436,158540,0,                       0,158540,158540,0,                       0,158540
437,158541,0,                       0,158539,158539,0,                       0,158541
438,158540,0,                       0,158540,158540,0,                       0,158540
439,158539,0,                       0,158541,158541,0,                       0,158539
440,158540,0,                       0,158540,158540,0,                       0,158540
441,158539,0,                       0,158541,158541,0,                       0,158539
442,158540,0,                       0,158540,158540,0,                       0,158540
443,158539,0,                       0,158541,158541,0,                       0,158539
444,158540,0,                       0,158540,158540,0,                       0,158540
445,158541,0,                       0,158539,158539,0,                       0,158541
446,158540,0,                       0,158540,158540,0,                       0,158540
