iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
389,500,0,                       0,500,500,0,                       0,500
390,501,0,                       0,499,499,0,                       0,501
391,500,0,                       0,500,500,0,                       0,500
392,501,0,                       0,499,499,0,                       0,501
393,500,0,                       0,500,500,0,                       0,500
394,501,0,                       0,499,499,0,                       0,501
395,502,0,                       0,498,498,0,                       0,502
396,503,0,                       0,497,497,0,                       0,503
397,502,0,                       0,498,498,0,                       0,502
398,501,0,                       0,499,499,0,                       0,501
399,502,0,                       0,498,498,0,                       0,502
400,501,0,                       0,499,499,0,                       0,501
401,500,0,                       0,500,500,0,                       0,500
402,499,0,                       0,501,501,0,                       0,499
403,500,0,                       0,500,500,0,                       0,500
404,501,0,                       0,499,499,0,                       0,501
405,500,0,                       0,500,500,0,                       0,500
406,501,0,                       0,499,499,0,                       0,501
407,500,0,                       0,500,500,0,                       0,500
408,501,0,                       0,499,499,0,                       0,501
409,500,0,                       0,500,500,0,                       0,500
410,499,0,                       0,501,501,0,                       0,499
411,500,0,                       0,500,500,0,                       0,500
412,501,0,                       0,499,499,0,                       0,501
413,502,0,                       0,498,498,0,                       0,502
414,501,0,                       0,499,499,0,                       0,501
415,500,0,                       0,500,500,0,                       0,500
416,499,0,                       0,501,501,0,                       0,499
417,500,0,                       0,500,500,0,                       0,500
418,501,0,                       0,499,499,0,                       0,501
419,500,0,                       0,500,500,0,                       0,500
420,499,0,                       0,501,501,0,                       0,499
421,500,0,                       0,500,500,0,                       0,500
422,501,0,                       0,499,499,0,                       0,501
423,500,0,                       0,500,500,0,                       0,500
424,499,0,                       0,501,501,0,                       0,499
425,498,0,                       0,502,502,0,                       0,498
426,499,0,                       0,501,501,0,                       0,499
427,500,0,                       0,500,500,0,                       0,500
428,501,0,                       0,499,499,0,                       0,501
429,500,0,                       0,500,500,0,                       0,500
430,499,0,                       0,501,501,0,                       0,499
431,500,0,                       0,500,500,0,                       0,500
432,501,0,                       0,499,499,0,                       0,501
433,500,0,                       0,500,500,0,                       0,500
434,499,0,                       0,501,501,0,                       0,499
435,500,0,                       0,500,500,0,                       0,500
436,499,0,                       0,501,501,0,                       0,499
437,500,0,                       0,500,500,0,                       0,500
438,501,0,                       0,499,499,0,                       0,501
439,502,0,                       0,498,498,0,                       0,502
440,501,0,                       0,499,499,0,                       0,501
441,500,0,                       0,500,500,0,                       0,500
442,499,0,                       0,501,501,0,                       0,499
443,498,0,                       0,502,502,0,                       0,498
444,499,0,                       0,501,501,0,                       0,499
445,500,0,                       0,500,500,0,                       0,500
446,499,0,                       0,501,501,0,                       0,499
447,500,0,                       0,500,500,0,                       0,500
448,499,0,                       0,501,501,0,                       0,499
449,500,0,                       0,500,500,0,                       0,500
450,499,0,                       0,501,501,0,                       0,499
451,500,0,                       0,500,500,0,                       0,500
452,501,0,                       0,499,499,0,                       0,501
453,500,0,                       0,500,500,0,                       0,500
454,499,0,                       0,501,501,0,                       0,499
455,500,0,                       0,500,500,0,                       0,500
456,499,0,                       0,501,501,0,                       0,499
457,500,0,                       0,500,500,0,                       0,500
458,501,0,                       0,499,499,0,                       0,501
459,502,0,                       0,498,498,0,                       0,502
460,501,0,                       0,499,499,0,                       0,501
461,502,0,                       0,498,498,0,                       0,502
462,501,0,                       0,499,499,0,                       0,501
463,502,0,                       0,498,498,0,                       0,502
464,501,0,                       0,499,499,0,                       0,501
465,500,0,                       0,500,500,0,                       0,500
466,501,0,                       0,499,499,0,                       0,501
467,500,0,                       0,500,500,0,                       0,500
468,501,0,                       0,499,499,0,                       0,501
469,500,0,                       0,500,500,0,                       0,500
470,499,0,                       0,501,501,0,                       0,499
471,500,0,                       0,500,500,0,                       0,500
472,501,0,                       0,499,499,0,                       0,501
473,500,0,                       0,500,500,0,                       0,500
474,501,0,                       0,499,499,0,                       0,501
475,500,0,                       0,500,500,0,                       0,500
476,501,0,                       0,499,499,0,                       0,501
477,502,0,                       0,498,498,0,                       0,502
478,501,0,                       0,499,499,0,                       0,501
479,500,0,                       0,500,500,0,                       0,500
480,501,0,                       0,499,499,0,                       0,501
481,500,0,                       0,500,500,0,                       0,500
482,501,0,                       0,499,499,0,                       0,501
483,500,0,                       0,500,500,0,                       0,500
484,501,0,                       0,499,499,0,                       0,501
485,500,0,                       0,500,500,0,                       0,500
486,499,0,                       0,501,501,0,                       0,499
487,500,0,                       0,500,500,0,                       0,500
488,499,0,                       0,501,501,0,                       0,499
489,500,0,                       0,500,500,0,                       0,500
490,499,0,                       0,501,501,0,                       0,499
491,500,0,                       0,500,500,0,                       0,500
492,501,0,                       0,499,499,0,                       0,501
493,500,0,                       0,500,500,0,                       0,500
494,499,0,                       0,501,501,0,                       0,499
495,498,0,                       0,502,502,0,                       0,498
496,499,0,                       0,501,501,0,                       0,499
497,500,0,                       0,500,500,0,                       0,500
498,501,0,                       0,499,499,0,                       0,501
499,502,0,                       0,498,498,0,                       0,502
500,501,0,                       0,499,499,0,                       0,501
501,500,0,                       0,500,500,0,                       0,500
502,501,0,                       0,499,499,0,                       0,501
503,500,0,                       0,500,500,0,                       0,500
504,501,0,                       0,499,499,0,                       0,501
505,500,0,                       0,500,500,0,                       0,500
506,499,0,                       0,501,501,0,                       0,499
507,498,0,                       0,502,502,0,                       0,498
508,499,0,                       0,501,501,0,                       0,499
509,500,0,                       0,500,500,0,                       0,500
510,501,0,                       0,499,499,0,                       0,501
511,500,0,                       0,500,500,0,                       0,500
512,499,0,                       0,501,501,0,                       0,499
513,500,0,                       0,500,500,0,                       0,500
514,499,0,                       0,501,501,0,                       0,499
515,500,0,                       0,500,500,0,                       0,500
516,501,0,                       0,499,499,0,                       0,501
517,500,0,                       0,500,500,0,                       0,500
518,499,0,                       0,501,501,0,                       0,499
519,500,0,                       0,500,500,0,                       0,500
520,501,0,                       0,499,499,0,                       0,501
521,500,0,                       0,500,500,0,                       0,500
522,501,0,                       0,499,499,0,                       0,501
523,500,0,                       0,500,500,0,                       0,500
524,501,0,                       0,499,499,0,                       0,501
525,502,0,                       0,498,498,0,                       0,502
526,501,0,                       0,499,499,0,                       0,501
527,502,0,                       0,498,498,0,                       0,502
528,501,0,                       0,499,499,0,                       0,501
529,500,0,                       0,500,500,0,                       0,500
530,499,0,                       0,501,501,0,                       0,499
