iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
157,126,no,0.95,1424.95,-228609.00,+0.00%,499,501,4179,4237,49.90%,                49.66%,49.81%,2,100.00%
158,503,yes,3.05,1428.00,-228605.95,+0.00%,500,500,4188,4228,50.00%,                49.76%,50.01%,3,66.67%
159,988,yes,1.15,1429.15,-228604.80,+0.00%,499,501,4172,4248,49.90%,                49.55%,49.81%,4,50.00%
160,918,no,8.85,1438.00,-228595.95,+0.00%,498,502,4163,4261,49.80%,                49.42%,49.61%,5,40.00%
161,441,no,7.95,1445.95,-228588.00,+0.00%,499,501,4178,4252,49.90%,                49.56%,49.81%,2,100.00%
162,564,yes,2.05,1448.00,-228585.95,+0.00%,500,500,4195,4242,50.00%,                49.72%,50.01%,3,66.67%
163,422,yes,0.15,1448.15,-228585.80,+0.00%,499,501,4185,4255,49.90%,                49.59%,49.81%,5,40.00%
164,496,no,8.85,1457.00,-228576.95,+0.00%,498,502,4170,4273,49.80%,                49.39%,49.61%,4,50.00%
165,322,yes,1.15,1458.15,-228575.80,+0.00%,499,501,4187,4262,49.90%,                49.56%,49.81%,3,66.67%
166,809,yes,11.25,1469.40,-228564.55,+0.00%,498,502,4173,4280,49.80%,                49.37%,49.61%,3,66.67%
167,169,no,1.75,1471.15,-228562.80,+0.00%,497,503,4159,4310,49.70%,                49.11%,49.41%,3,66.67%
168,834,no,3.85,1475.00,-228558.95,+0.00%,498,502,4174,4292,49.80%,                49.30%,49.61%,3,66.67%
169,360,no,2.95,1477.95,-228556.00,+0.00%,499,501,4192,4275,49.90%,                49.51%,49.81%,5,40.00%
170,967,no,0.05,1478.00,-228555.95,+0.00%,500,500,4209,4260,50.00%,                49.70%,50.01%,14,14.29%
171,945,yes,1.95,1479.95,-228554.00,+0.00%,501,499,4230,4240,50.10%,                49.94%,50.21%,6,33.33%
172,56,no,3.05,1483.00,-228550.95,+0.00%,500,500,4215,4256,50.00%,                49.76%,50.01%,2,100.00%
173,762,yes,1.95,1484.95,-228549.00,+0.00%,501,499,4231,4244,50.10%,                49.92%,50.21%,6,33.33%
174,444,no,2.05,1487.00,-228546.95,+0.00%,500,500,4214,4262,50.00%,                49.72%,50.01%,5,40.00%
175,992,yes,3.95,1490.95,-228543.00,+0.00%,501,499,4225,4254,50.10%,                49.83%,50.21%,2,100.00%
176,832,no,4.05,1495.00,-228538.95,+0.00%,500,500,4209,4273,50.00%,                49.62%,50.01%,5,40.00%
177,980,no,5.15,1500.15,-228533.80,+0.00%,501,499,4229,4258,50.10%,                49.83%,50.22%,4,50.00%
178,191,yes,4.85,1505.00,-228528.95,+0.00%,502,498,4253,4242,50.20%,                50.06%,50.41%,3,66.67%
179,696,no,2.15,1507.15,-228526.80,+0.00%,501,499,4240,4257,50.10%,                49.90%,50.21%,5,40.00%
180,707,yes,4.85,1512.00,-228521.95,+0.00%,502,498,4255,4247,50.20%,                50.05%,50.41%,4,50.00%
181,212,yes,3.95,1515.95,-228518.00,+0.00%,501,499,4244,4260,50.10%,                49.91%,50.21%,2,100.00%
182,843,no,1.05,1517.00,-228516.95,+0.00%,500,500,4231,4276,50.00%,                49.74%,50.01%,3,66.67%
183,371,yes,1.95,1518.95,-228515.00,+0.00%,501,499,4240,4269,50.10%,                49.83%,50.21%,2,100.00%
184,592,no,14.05,1533.00,-228500.95,+0.01%,500,500,4226,4284,50.00%,                49.66%,50.02%,3,66.67%
185,335,yes,0.95,1533.95,-228500.00,+0.00%,501,499,4253,4272,50.10%,                49.89%,50.21%,2,100.00%
186,76,no,4.05,1538.00,-228495.95,+0.00%,500,500,4237,4288,50.00%,                49.70%,50.01%,3,66.67%
187,753,yes,7.95,1545.95,-228488.00,+0.00%,501,499,4254,4276,50.10%,                49.87%,50.21%,7,28.57%
188,563,no,1.05,1547.00,-228486.95,+0.00%,500,500,4235,4302,50.00%,                49.61%,50.01%,3,66.67%
189,811,yes,4.95,1551.95,-228482.00,+0.00%,501,499,4253,4286,50.10%,                49.81%,50.22%,5,40.00%
190,77,yes,2.05,1554.00,-228479.95,+0.00%,500,500,4236,4307,50.00%,                49.58%,50.02%,3,66.67%
191,489,no,0.95,1554.95,-228479.00,+0.00%,499,501,4223,4323,49.90%,                49.41%,49.81%,6,33.33%
192,869,yes,1.05,1556.00,-228477.95,+0.00%,500,500,4234,4312,50.00%,                49.54%,50.02%,5,40.00%
193,412,yes,5.15,1561.15,-228472.80,+0.00%,499,501,4215,4333,49.90%,                49.31%,49.82%,7,28.57%
194,157,yes,3.25,1564.40,-228469.55,+0.00%,498,502,4204,4352,49.80%,                49.14%,49.62%,4,50.00%
195,407,no,8.75,1573.15,-228460.80,+0.00%,497,503,4193,4371,49.70%,                48.96%,49.42%,4,50.00%
196,718,no,7.85,1581.00,-228452.95,+0.00%,498,502,4206,4362,49.80%,                49.09%,49.62%,2,100.00%
197,310,yes,5.15,1586.15,-228447.80,+0.00%,499,501,4225,4348,49.90%,                49.28%,49.82%,2,100.00%
198,819,no,5.85,1592.00,-228441.95,+0.00%,498,502,4211,4370,49.80%,                49.07%,49.62%,8,25.00%
199,42,no,10.95,1602.95,-228431.00,+0.00%,499,501,4220,4364,49.90%,                49.16%,49.83%,2,100.00%
200,362,yes,2.05,1605.00,-228428.95,+0.00%,500,500,4236,4358,50.00%,                49.29%,50.03%,7,28.57%
201,720,no,0.95,1605.95,-228428.00,+0.00%,499,501,4221,4376,49.90%,                49.10%,49.83%,12,16.67%
202,404,yes,3.05,1609.00,-228424.95,+0.00%,500,500,4236,4361,50.00%,                49.27%,50.03%,3,66.67%
203,682,no,7.95,1616.95,-228417.00,+0.00%,499,501,4218,4383,49.90%,                49.04%,49.83%,4,50.00%
204,518,yes,3.05,1620.00,-228413.95,+0.00%,500,500,4241,4367,50.00%,                49.27%,50.03%,4,50.00%
205,398,no,10.95,1630.95,-228403.00,+0.00%,499,501,4226,4386,49.90%,                49.07%,49.83%,2,100.00%
206,712,yes,5.05,1636.00,-228397.95,+0.00%,500,500,4249,4373,50.00%,                49.28%,50.03%,2,100.00%
207,815,yes,7.15,1643.15,-228390.80,+0.00%,499,501,4231,4397,49.90%,                49.04%,49.83%,2,100.00%
208,946,no,0.85,1644.00,-228389.95,+0.00%,498,502,4221,4417,49.80%,                48.87%,49.63%,2,100.00%
209,359,no,3.95,1647.95,-228386.00,+0.00%,499,501,4237,4399,49.90%,                49.06%,49.83%,9,22.22%
210,83,no,7.05,1655.00,-228378.95,+0.00%,500,500,4246,4393,50.00%,                49.15%,50.03%,6,33.33%
